Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge
This Book Is Gay,"Dawson, Juno",,,,,Massachusetts,Abington Public Schools,Oct-22,Banned Pending Investigation,Formal Challenge
Identical,"Hopkins, Ellen",,,,,Colorado,Academy School District 20,May-23,Banned Pending Investigation,Informal Challenge
Lucky,"Sebold, Alice",,,,,Colorado,Academy School District 20,May-23,Banned Pending Investigation,Informal Challenge
Push,Sapphire,,,,,Colorado,Academy School District 20,May-23,Banned Pending Investigation,Informal Challenge
Gender Queer: A Memoir,"Kobabe, Maia",,,,,North Carolina,Alamance-Burlington School District,Sep-22,Banned from Libraries and Classrooms,Informal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
A ​Court of Silver Flames,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
All Boys Aren't Blue,"Johnson, George M.",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
Breathless,"Niven, Jennifer",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
Crank,"Hopkins, Ellen",,,,Crank,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
Damsel,"Arnold, Elana K.",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
Daughters Unto Devils,"Lukavics, Amy",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Fade,"McMann, Lisa",,,,Wake,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Fallout,"Hopkins, Ellen",,,,Crank,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
Flamer,"Curato, Mike",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Forever...,"Blume, Judy",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Gender Queer: A Memoir,"Kobabe, Maia",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
grl2grl,"Peters, Julie Anne",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
Impulse,"Hopkins, Ellen",,,,Impulse,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Lawn Boy,"Evison, Jonathan",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
My Friend Dahmer,"Backderf, Derf",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Neanderthal Opens the Door to the Universe,"Norton, Preston",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Out of Darkness,"Pérez, Ashley Hope",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
People Kill People,"Hopkins, Ellen",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
Push,Sapphire,,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Queer: The Ultimate LGBTQ Guide for Teens,"Belge, Kathy","Bieschke, Marke","Robinson, Christopher",,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Red Hood,"Arnold, Elana K.",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Shine,"Myracle, Lauren",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
The Art of Racing in the Rain,"Stein, Garth",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
The Carnival at Bray,"Foley, Jessie Ann",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
The Girl Who Fell from the Sky,"Durrow, Heidi W.",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
The Haters,"Andrews, Jesse",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
The Nowhere Girls,"Reed, Amy",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
This Book Is Gay,"Dawson, Juno",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
This One Summer,"Tamaki, Mariko",,"Tamaki, Jillian",,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Tilt,"Hopkins, Ellen",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
ttfn,"Myracle, Lauren",,,,Internet Girls,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
ttyl,"Myracle, Lauren",,,,Internet Girls,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
Twisted,"Anderson, Laurie Halse",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
We Are the Ants,"Hutchinson, Shaun David",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
What Girls Are Made Of,"Arnold, Elana K.",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
The Handmaid's Tale,"Atwood, Margaret",,,,,South Carolina,Anderson School District One,Apr-23,Banned Pending Investigation,Informal Challenge
Ace of Spades,"Àbíké-Íyímídé, Faridah",,,,,Florida,Bay District Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
Bitterblue,"Cashore, Kristin",,"Schoenherr, Ian",,Graceling Realm,Florida,Bay District Schools,Feb-23,Banned from Libraries,Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
A Lesson in Vengeance,"Lee, Victoria",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
