State Postal Code,State FIPS,District ID Number,School District Name,County Names,County FIPS
AL,01,00190,Alabaster City School District,Shelby County,117
AL,01,00005,Albertville City School District,Marshall County,095
AL,01,00030,Alexander City City School District,Tallapoosa County,123
AL,01,00060,Andalusia City School District,Covington County,039
AL,01,00090,Anniston City School District,Calhoun County,015
AL,01,00100,Arab City School District,Cullman County,043
AL,01,00100,Arab City School District,Marshall County,095
AL,01,00120,Athens City School District,Limestone County,083
AL,01,00180,Attalla City School District,Etowah County,055
AL,01,00210,Auburn City School District,Lee County,081
AL,01,00240,Autauga County School District,Autauga County,001
AL,01,00270,Baldwin County School District,Baldwin County,003
AL,01,00300,Barbour County School District,Barbour County,005
AL,01,00330,Bessemer City School District,Jefferson County,073
AL,01,00360,Bibb County School District,Bibb County,007
AL,01,00390,Birmingham City School District,Jefferson County,073
AL,01,00390,Birmingham City School District,Shelby County,117
AL,01,00420,Blount County School District,Blount County,009
AL,01,00012,Boaz City School District,Etowah County,055
AL,01,00012,Boaz City School District,Marshall County,095
AL,01,00450,Brewton City School District,Escambia County,053
AL,01,00480,Bullock County School District,Bullock County,011
AL,01,00510,Butler County School District,Butler County,013
AL,01,00540,Calhoun County School District,Calhoun County,015
AL,01,00600,Chambers County School District,Chambers County,017
AL,01,00630,Cherokee County School District,Cherokee County,019
AL,01,00188,Chickasaw City School District,Mobile County,097
AL,01,00660,Chilton County School District,Chilton County,021
AL,01,00690,Choctaw County School District,Choctaw County,023
AL,01,00720,Clarke County School District,Clarke County,025
AL,01,00750,Clay County School District,Clay County,027
AL,01,00780,Cleburne County School District,Cleburne County,029
AL,01,00810,Coffee County School District,Coffee County,031
AL,01,00840,Colbert County School District,Colbert County,033
AL,01,00870,Conecuh County School District,Conecuh County,035
AL,01,00900,Coosa County School District,Coosa County,037
AL,01,00930,Covington County School District,Covington County,039
AL,01,00960,Crenshaw County School District,Crenshaw County,041
AL,01,00990,Cullman City School District,Cullman County,043
AL,01,01020,Cullman County School District,Cullman County,043
AL,01,01050,Dale County School District,Dale County,045
AL,01,01080,Daleville City School District,Dale County,045
AL,01,01110,Dallas County School District,Dallas County,047
AL,01,01140,DeKalb County School District,DeKalb County,049
AL,01,01170,Decatur City School District,Limestone County,083
AL,01,01170,Decatur City School District,Morgan County,103
AL,01,01200,Demopolis City School District,Marengo County,091
AL,01,01230,Dothan City School District,Dale County,045
AL,01,01230,Dothan City School District,Henry County,067
AL,01,01230,Dothan City School District,Houston County,069
AL,01,01260,Elba City School District,Coffee County,031
AL,01,01290,Elmore County School District,Elmore County,051
AL,01,01320,Enterprise City School District,Coffee County,031
AL,01,01320,Enterprise City School District,Dale County,045
AL,01,01350,Escambia County School District,Escambia County,053
AL,01,01380,Etowah County School District,Etowah County,055
AL,01,01410,Eufaula City School District,Barbour County,005
AL,01,01440,Fairfield City School District,Jefferson County,073
AL,01,01470,Fayette County School District,Fayette County,057
AL,01,01530,Florence City School District,Lauderdale County,077
AL,01,01560,Fort Payne City School District,DeKalb County,049
AL,01,00001,Fort Rucker School District,Coffee County,031
AL,01,00001,Fort Rucker School District,Dale County,045
AL,01,01590,Franklin County School District,Franklin County,059
AL,01,01620,Gadsden City School District,Etowah County,055
AL,01,01640,Geneva City School District,Geneva County,061
AL,01,01660,Geneva County School District,Geneva County,061
AL,01,01680,Greene County School District,Greene County,063
AL,01,00202,Gulf Shores City School District,Baldwin County,003
AL,01,01690,Guntersville City School District,Marshall County,095
AL,01,01710,Hale County School District,Hale County,065
AL,01,01720,Haleyville City School District,Marion County,093
AL,01,01720,Haleyville City School District,Winston County,133
AL,01,01730,Hartselle City School District,Morgan County,103
AL,01,01740,Henry County School District,Henry County,067
AL,01,01760,Homewood City School District,Jefferson County,073
AL,01,00007,Hoover City School District,Jefferson County,073
AL,01,00007,Hoover City School District,Shelby County,117
AL,01,01770,Houston County School District,Houston County,069
AL,01,01800,Huntsville City School District,Limestone County,083
AL,01,01800,Huntsville City School District,Madison County,089
AL,01,01830,Jackson County School District,Jackson County,071
AL,01,01860,Jacksonville City School District,Calhoun County,015
AL,01,01890,Jasper City School District,Walker County,127
AL,01,01920,Jefferson County School District,Jefferson County,073
AL,01,01950,Lamar County School District,Lamar County,075
AL,01,01980,Lanett City School District,Chambers County,017
AL,01,02010,Lauderdale County School District,Lauderdale County,077
AL,01,02040,Lawrence County School District,Lawrence County,079
AL,01,02070,Lee County School District,Lee County,081
AL,01,00011,Leeds City School District,Jefferson County,073
AL,01,00011,Leeds City School District,St. Clair County,115
AL,01,00011,Leeds City School District,Shelby County,117
AL,01,02100,Limestone County School District,Limestone County,083
AL,01,02130,Linden City School District,Marengo County,091
AL,01,02160,Lowndes County School District,Lowndes County,085
AL,01,02190,Macon County School District,Macon County,087
AL,01,00008,Madison City School District,Limestone County,083
AL,01,00008,Madison City School District,Madison County,089
AL,01,02220,Madison County School District,Madison County,089
AL,01,02250,Marengo County School District,Marengo County,091
AL,01,02310,Marion County School District,Marion County,093
AL,01,00006,Marshall County School District,Marshall County,095
AL,01,00003,Maxwell AFB School District,Montgomery County,101
AL,01,02350,Midfield City School District,Jefferson County,073
AL,01,02370,Mobile County School District,Mobile County,097
AL,01,02400,Monroe County School District,Monroe County,099
AL,01,02430,Montgomery County School District,Montgomery County,101
AL,01,02480,Morgan County School District,Morgan County,103
AL,01,02490,Mountain Brook City School District,Jefferson County,073
AL,01,02520,Muscle Shoals City School District,Colbert County,033
AL,01,02550,Oneonta City School District,Blount County,009
AL,01,02580,Opelika City School District,Lee County,081
AL,01,02610,Opp City School District,Covington County,039
AL,01,03581,Orange Beach City School District,Baldwin County,003
AL,01,02635,Oxford City School District,Calhoun County,015
AL,01,02635,Oxford City School District,Talladega County,121
AL,01,02640,Ozark City School District,Dale County,045
AL,01,00194,Pelham City School District,Shelby County,117
AL,01,02650,Pell City City School District,St. Clair County,115
AL,01,02670,Perry County School District,Perry County,105
AL,01,02700,Phenix City City School District,Lee County,081
AL,01,02700,Phenix City City School District,Russell County,113
AL,01,02730,Pickens County School District,Pickens County,107
AL,01,02760,Piedmont City School District,Calhoun County,015
AL,01,02760,Piedmont City School District,Cleburne County,029
AL,01,02790,Pike County School District,Pike County,109
AL,01,00195,Pike Road City School District,Montgomery County,101
AL,01,02820,Randolph County School District,Randolph County,111
AL,01,02850,Roanoke City School District,Randolph County,111
AL,01,02880,Russell County School District,Russell County,113
AL,01,02910,Russellville City School District,Franklin County,059
AL,01,00185,Saraland City School District,Mobile County,097
AL,01,00189,Satsuma City School District,Mobile County,097
AL,01,02940,Scottsboro City School District,Jackson County,071
AL,01,02970,Selma City School District,Dallas County,047
AL,01,03000,Sheffield City School District,Colbert County,033
AL,01,03030,Shelby County School District,Shelby County,117
AL,01,03062,St. Clair County School District,St. Clair County,115
AL,01,03090,Sumter County School District,Sumter County,119
AL,01,03120,Sylacauga City School District,Talladega County,121
AL,01,03150,Talladega City School District,Talladega County,121
AL,01,03180,Talladega County School District,Talladega County,121
AL,01,03210,Tallapoosa County School District,Tallapoosa County,123
AL,01,03240,Tallassee City School District,Elmore County,051
AL,01,03240,Tallassee City School District,Tallapoosa County,123
AL,01,03270,Tarrant City School District,Jefferson County,073
AL,01,03300,Thomasville City School District,Clarke County,025
AL,01,03330,Troy City School District,Pike County,109
AL,01,00013,Trussville City School District,Jefferson County,073
AL,01,00013,Trussville City School District,St. Clair County,115
AL,01,03360,Tuscaloosa City School District,Tuscaloosa County,125
AL,01,03390,Tuscaloosa County School District,Tuscaloosa County,125
AL,01,03420,Tuscumbia City School District,Colbert County,033
AL,01,03430,Vestavia Hills City School District,Jefferson County,073
AL,01,03430,Vestavia Hills City School District,Shelby County,117
AL,01,03450,Walker County School District,Walker County,127
AL,01,03480,Washington County School District,Washington County,129
AL,01,03510,Wilcox County School District,Wilcox County,131
AL,01,03540,Winfield City School District,Fayette County,057
AL,01,03540,Winfield City School District,Marion County,093
AL,01,03580,Winston County School District,Winston County,133
AK,02,00050,Alaska Gateway School District,Copper River Census Area,066
AK,02,00050,Alaska Gateway School District,Southeast Fairbanks Census Area,240
AK,02,00050,Alaska Gateway School District,Yukon-Koyukuk Census Area,290
AK,02,00010,Aleutian Region School District,Aleutians West Census Area,016
AK,02,00007,Aleutians East Borough School District,Aleutians East Borough,013
AK,02,00180,Anchorage School District,Anchorage Borough,020
AK,02,00525,Annette Island School District,Prince of Wales-Hyder Census Area,198
AK,02,00020,Bering Strait School District,Nome Census Area,180
AK,02,00030,Bristol Bay Borough School District,Bristol Bay Borough,060
AK,02,00730,Chatham School District,Hoonah-Angoon Census Area,105
AK,02,00800,Chugach School District,Chugach Census Area,063
AK,02,00800,Chugach School District,Copper River Census Area,066
AK,02,00070,Copper River School District,Copper River Census Area,066
AK,02,00070,Copper River School District,Southeast Fairbanks Census Area,240
AK,02,00060,Cordova City School District,Chugach Census Area,063
AK,02,00090,Craig City School District,Prince of Wales-Hyder Census Area,198
AK,02,00100,Delta/Greely School District,Southeast Fairbanks Census Area,240
AK,02,00770,Denali Borough School District,Denali Borough,068
AK,02,00120,Dillingham City School District,Dillingham Census Area,070
AK,02,00600,Fairbanks North Star Borough School District,Fairbanks North Star Borough,090
AK,02,00130,Galena City School District,Yukon-Koyukuk Census Area,290
AK,02,00270,Haines Borough School District,Haines Borough,100
AK,02,00300,Hoonah City School District,Hoonah-Angoon Census Area,105
AK,02,00330,Hydaburg City School District,Prince of Wales-Hyder Census Area,198
AK,02,00520,Iditarod Area School District,Bethel Census Area,050
AK,02,00520,Iditarod Area School District,Yukon-Koyukuk Census Area,290
AK,02,00210,Juneau Borough School District,Juneau Borough,110
AK,02,00360,Kake City School District,Prince of Wales-Hyder Census Area,198
AK,02,00005,Kashunamiut School District,Kusilvak Census Area,158
AK,02,00390,Kenai Peninsula Borough School District,Kenai Peninsula Borough,122
AK,02,00150,Ketchikan Gateway Borough School District,Ketchikan Gateway Borough,130
AK,02,00450,Klawock City School District,Prince of Wales-Hyder Census Area,198
AK,02,00480,Kodiak Island Borough School District,Kodiak Island Borough,150
AK,02,00760,Kuspuk School District,Bethel Census Area,050
AK,02,00760,Kuspuk School District,Kusilvak Census Area,158
AK,02,00485,Lake and Peninsula Borough School District,Lake and Peninsula Borough,164
AK,02,00001,Lower Kuskokwim School District,Bethel Census Area,050
AK,02,00001,Lower Kuskokwim School District,Kusilvak Census Area,158
AK,02,00003,Lower Yukon School District,Bethel Census Area,050
AK,02,00003,Lower Yukon School District,Kusilvak Census Area,158
AK,02,00510,Matanuska-Susitna Borough School District,Matanuska-Susitna Borough,170
AK,02,00540,Nenana City School District,Yukon-Koyukuk Census Area,290
AK,02,00570,Nome School District,Nome Census Area,180
AK,02,00610,North Slope Borough School District,North Slope Borough,185
AK,02,00625,Northwest Arctic Borough School District,Northwest Arctic Borough,188
AK,02,00630,Pelican City School District,Hoonah-Angoon Census Area,105
AK,02,00660,Petersburg Borough School District,Petersburg Borough,195
AK,02,00670,Pribilof School District,Aleutians West Census Area,016
AK,02,00240,Sitka School District,Sitka Borough,220
AK,02,00690,Skagway School District,Skagway Municipality,230
AK,02,00700,Southeast Island School District,Prince of Wales-Hyder Census Area,198
AK,02,00710,Southwest Region School District,Dillingham Census Area,070
AK,02,00680,St. Marys City School District,Kusilvak Census Area,158
AK,02,00715,Tanana City School District,Yukon-Koyukuk Census Area,290
AK,02,00720,Unalaska City School District,Aleutians West Census Area,016
AK,02,00780,Valdez City School District,Chugach Census Area,063
AK,02,00810,Wrangell School District,Wrangell City and Borough,275
AK,02,00840,Yakutat School District,Yakutat Borough,282
AK,02,00775,Yukon Flats School District,Southeast Fairbanks Census Area,240
AK,02,00775,Yukon Flats School District,Yukon-Koyukuk Census Area,290
AK,02,00862,Yukon-Koyukuk School District,Yukon-Koyukuk Census Area,290
AK,02,00004,Yupiit School District,Bethel Census Area,050
AZ,04,00450,Agua Fria Union High School District,Maricopa County,013
AZ,04,00480,Aguila Elementary District,Maricopa County,013
AZ,04,00520,Ajo Unified District,Pima County,019
AZ,04,00600,Alhambra Elementary District,Maricopa County,013
AZ,04,00630,Alpine Elementary District,Apache County,001
AZ,04,04770,Altar Valley Elementary District,Pima County,019
AZ,04,00680,Amphitheater Unified District,Pima County,019
AZ,04,00720,Antelope Union High School District,Yuma County,027
AZ,04,00750,Apache Elementary District,Cochise County,003
AZ,04,00790,Apache Junction Unified District,Pinal County,021
AZ,04,00840,Arlington Elementary District,Maricopa County,013
AZ,04,00870,Ash Creek Elementary District,Cochise County,003
AZ,04,00910,Ash Fork Joint Unified District,Coconino County,005
AZ,04,00910,Ash Fork Joint Unified District,Yavapai County,025
AZ,04,00960,Avondale Elementary District,Maricopa County,013
AZ,04,01000,Bagdad Unified School District,Yavapai County,025
AZ,04,01050,Balsz Elementary District,Maricopa County,013
AZ,04,01080,Beaver Creek Elementary District,Yavapai County,025
AZ,04,00212,Benson Unified School District,Cochise County,003
AZ,04,01160,Bicentennial Union High School District,La Paz County,012
AZ,04,01180,Bisbee Unified District,Cochise County,003
AZ,04,01230,Blue Elementary District,Greenlee County,011
AZ,04,06580,Blue Ridge Unified District,Navajo County,017
AZ,04,01260,Bonita Elementary District,Graham County,009
AZ,04,01290,Bouse Elementary District,La Paz County,012
AZ,04,01330,Bowie Unified District,Cochise County,003
AZ,04,01380,Buckeye Elementary District,Maricopa County,013
AZ,04,01410,Buckeye Union High School District,Maricopa County,013
AZ,04,01500,Bullhead City School District,Mohave County,015
AZ,04,01600,Camp Verde Unified District,Yavapai County,025
AZ,04,01650,Canon Elementary District,Yavapai County,025
AZ,04,01680,Cartwright Elementary District,Maricopa County,013
AZ,04,01710,Casa Grande Elementary District,Pinal County,021
AZ,04,01740,Casa Grande Union High School District,Pinal County,021
AZ,04,01760,Catalina Foothills Unified District,Pima County,019
AZ,04,00001,Cave Creek Unified District,Maricopa County,013
AZ,04,01810,Cedar Unified District,Navajo County,017
AZ,04,01870,Chandler Unified District,Maricopa County,013
AZ,04,01920,Chevelon Butte School District,Coconino County,005
AZ,04,01940,Chinle Unified District,Apache County,001
AZ,04,00003,Chino Valley Unified District,Yavapai County,025
AZ,04,00004,Clarkdale-Jerome Elementary District,Yavapai County,025
AZ,04,02130,Cochise Elementary District,Cochise County,003
AZ,04,00021,Colorado City Unified District,Mohave County,015
AZ,04,00082,Colorado River Union High School District,Mohave County,015
AZ,04,02190,Concho Elementary District,Apache County,001
AZ,04,02220,Congress Elementary District,Yavapai County,025
AZ,04,02250,Continental Elementary District,Pima County,019
AZ,04,02320,Coolidge Unified District,Pinal County,021
AZ,04,02370,Cottonwood-Oak Creek Elementary District,Yavapai County,025
AZ,04,02400,Crane Elementary District,Yuma County,027
AZ,04,02430,Creighton Elementary District,Maricopa County,013
AZ,04,02460,Crown King Elementary District,Yavapai County,025
AZ,04,07750,Deer Valley Unified District,Maricopa County,013
AZ,04,02490,Double Adobe Elementary District,Cochise County,003
AZ,04,02530,Douglas Unified District,Cochise County,003
AZ,04,02600,Duncan Unified District,Greenlee County,011
AZ,04,02690,Dysart Unified District,Maricopa County,013
AZ,04,02710,Eagle Elementary District,Greenlee County,011
AZ,04,02760,Elfrida Elementary District,Cochise County,003
AZ,04,02790,Eloy Elementary District,Pinal County,021
AZ,04,02820,Empire Elementary District,Pima County,019
AZ,04,02860,Flagstaff Unified District,Coconino County,005
AZ,04,02920,Florence Unified School District,Pinal County,021
AZ,04,03010,Flowing Wells Unified District,Pima County,019
AZ,04,03150,Fort Huachuca Accommodation District,Cochise County,003
AZ,04,03200,Fort Thomas Unified District,Graham County,009
AZ,04,03040,Fountain Hills Unified District,Maricopa County,013
AZ,04,03060,Fowler Elementary District,Maricopa County,013
AZ,04,03080,Fredonia-Moccasin Unified District,Coconino County,005
AZ,04,03080,Fredonia-Moccasin Unified District,Mohave County,015
AZ,04,03240,Gadsden Elementary District,Yuma County,027
AZ,04,03290,Ganado Unified District,Apache County,001
AZ,04,03310,Gila Bend Unified District,Maricopa County,013
AZ,04,03400,Gilbert Unified District,Maricopa County,013
AZ,04,03420,Glendale Elementary District,Maricopa County,013
AZ,04,03450,Glendale Union High School District,Maricopa County,013
AZ,04,03500,Globe Unified District,Gila County,007
AZ,04,03550,Grand Canyon Unified District,Coconino County,005
AZ,04,03660,Hackberry School District,Mohave County,015
AZ,04,03730,Hayden-Winkelman Unified District,Gila County,007
AZ,04,00026,Heber-Overgaard Unified District,Navajo County,017
AZ,04,03780,Higley Unified District,Maricopa County,013
AZ,04,08460,Hillside Elementary District,Yavapai County,025
AZ,04,03820,Holbrook Unified District,Navajo County,017
AZ,04,03870,Humboldt Unified District,Yavapai County,025
AZ,04,03900,Hyder Elementary District,Yuma County,027
AZ,04,03950,Indian Oasis-Baboquivari Unified District,Pima County,019
AZ,04,03960,Isaac Elementary District,Maricopa County,013
AZ,04,03990,J. O. Combs Unified School District,Pinal County,021
AZ,04,04010,Joseph City Unified District,Navajo County,017
AZ,04,04060,Kayenta Unified District,Navajo County,017
AZ,04,00295,Kingman Unified School District,Mohave County,015
AZ,04,04170,Kirkland Elementary District,Yavapai County,025
AZ,04,04200,Klondyke Elementary District,Graham County,009
AZ,04,04230,Kyrene Elementary District,Maricopa County,013
AZ,04,04280,Lake Havasu Unified District,Mohave County,015
AZ,04,04290,Laveen Elementary District,Maricopa County,013
AZ,04,04320,Liberty Elementary District,Maricopa County,013
AZ,04,04380,Litchfield Elementary District,Maricopa County,013
AZ,04,04410,Littlefield Unified District,Mohave County,015
AZ,04,04440,Littleton Elementary District,Maricopa County,013
AZ,04,04500,Madison Elementary District,Maricopa County,013
AZ,04,04530,Maine Consolidated School District,Coconino County,005
AZ,04,04570,Mammoth-San Manuel Unified District,Pinal County,021
AZ,04,04630,Marana Unified District,Pima County,019
AZ,04,04720,Maricopa Unified School District,Pinal County,021
AZ,04,04820,Mayer Unified District,Yavapai County,025
AZ,04,04860,McNary Elementary District,Apache County,001
AZ,04,04920,McNeal Elementary District,Cochise County,003
AZ,04,04970,Mesa Unified District,Maricopa County,013
AZ,04,05030,Miami Unified District,Gila County,007
AZ,04,05070,Mingus Union High School District,Yavapai County,025
AZ,04,05100,Mobile Elementary District,Maricopa County,013
AZ,04,05190,Mohave Valley Elementary District,Mohave County,015
